restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g190454-d5617619,Luxor,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Heinestrasse 36, Vienna 1020 Austria",48.21869,16.38871,Unclaimed,,#3268 of 3747 Restaurants in Vienna,#3667 of 4650 places to eat in Vienna,"Cafe, International",,,,"Cafe, International",,,N,N,N,,,,,3.5,3.0,All languages,3.0,0.0,2.0,1.0,0.0,0.0,,,,,
g190454-d5770919,Tredici Gradi,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Kaiserstrasse 81, Vienna 1070 Austria",48.20481,16.33977,Unclaimed,,#2234 of 3747 Restaurants in Vienna,#2509 of 4650 places to eat in Vienna,"Italian, Cafe, Wine Bar",,,"Breakfast, Lunch, Dinner","Italian, Cafe, Wine Bar",,,N,N,N,"{""Mon"": [""08:00-00:00""], ""Tue"": [""08:00-00:00""], ""Wed"": [""08:00-00:00""], ""Thu"": [""08:00-00:00""], ""Fri"": [""08:00-00:00""], ""Sat"": [""08:00-00:00""], ""Sun"": [""16:00-00:00""]}",7.0,104.0,7.0,4.5,8.0,English,2.0,0.0,2.0,0.0,0.0,0.0,,,,,
g190454-d5772570,Schabanack,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Leopoldauer Platz 90, Vienna 1210 Austria",48.26296,16.43632,Unclaimed,,#1820 of 3747 Restaurants in Vienna,#2051 of 4650 places to eat in Vienna,"Mid-range, Austrian, European, Gastropub",€€-€€€,,"Lunch, Dinner","Austrian, European, Gastropub",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}",7.0,91.0,7.0,4.0,27.0,English,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.5,,
g190454-d5772698,Café-Restaurant Galerie,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Top: 106, Karntner Ring 5-13 Ringstrassen Galleries, Vienna 1010 Austria",48.20225,16.371384,Unclaimed,,#3652 of 3747 Restaurants in Vienna,#4085 of 4650 places to eat in Vienna,"Austrian, Cafe, European, Pub",,,"Breakfast, Lunch, Dinner","Austrian, Cafe, European, Pub",,,N,N,N,"{""Mon"": [""09:00-20:00""], ""Tue"": [""09:00-20:00""], ""Wed"": [""09:00-20:00""], ""Thu"": [""09:00-20:00""], ""Fri"": [""09:00-20:00""], ""Sat"": [""09:00-20:00""], ""Sun"": [""09:00-20:00""]}",7.0,77.0,7.0,2.0,4.0,English,1.0,0.0,0.0,0.0,0.0,1.0,,,,,
g190454-d5773760,Gosser Brau Wien 1230,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gesslgasse 4, Vienna 1230 Austria",48.14969,16.26825,Unclaimed,,#3563 of 3747 Restaurants in Vienna,#3988 of 4650 places to eat in Vienna,"Mid-range, Austrian, Central European, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, Breakfast","Austrian, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""08:00-00:00""], ""Tue"": [""08:00-00:00""], ""Wed"": [""08:00-00:00""], ""Thu"": [""08:00-00:00""], ""Fri"": [""08:00-00:00""], ""Sat"": [""08:00-00:00""], ""Sun"": [""08:00-23:00""]}",7.0,111.0,7.0,3.0,30.0,English,3.0,0.0,1.0,2.0,0.0,0.0,3.5,3.0,3.0,3.5,
g190454-d5774577,Zum Ochsenkopf,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Karl-Bekehrty-Strasse 60, Vienna 1140 Austria",48.22299,16.24713,Unclaimed,,#1391 of 3747 Restaurants in Vienna,#1557 of 4650 places to eat in Vienna,"Mid-range, German, Austrian, European",€€-€€€,,"Dinner, Lunch, Brunch","Austrian, European, Central European, German",Vegetarian Friendly,,Y,N,N,,,,,4.0,31.0,English,3.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,,
g190454-d5775013,Modul Café-Restaurant der Wirtschaftskammer Wien,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Peter-Jordan-Strasse 78, Vienna 1190 Austria",48.23736,16.33371,Claimed,,#3174 of 3747 Restaurants in Vienna,#3557 of 4650 places to eat in Vienna,"Mid-range, Italian, Indian, International",€€-€€€,€6-€18,"Breakfast, Lunch, Dinner","Italian, Indian, International, Asian",,,N,N,N,"{""Mon"": [""07:00-18:00""], ""Tue"": [""07:00-18:00""], ""Wed"": [""07:00-18:00""], ""Thu"": [""07:00-18:00""], ""Fri"": [""07:00-18:00""], ""Sat"": [""07:00-18:00""], ""Sun"": [""10:00-15:00""]}",7.0,71.0,7.0,3.5,5.0,All languages,5.0,1.0,1.0,2.0,1.0,0.0,,,,,
g190454-d5779406,Küche 18,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Waehringer Strasse 18, Vienna 1090 Austria",48.21743,16.359016,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#425 of 3747 Restaurants in Vienna,#476 of 4650 places to eat in Vienna,"Mid-range, Chinese, Asian, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Chinese, Asian","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [], ""Tue"": [""11:30-22:30""], ""Wed"": [""11:30-22:30""], ""Thu"": [""11:30-22:30""], ""Fri"": [""11:30-22:30""], ""Sat"": [""12:00-22:30""], ""Sun"": [""12:00-22:30""]}",6.0,65.0,6.0,4.5,137.0,English,41.0,19.0,18.0,0.0,2.0,2.0,4.5,4.5,4.0,4.0,
g190454-d5810590,Quattro Due,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Breitenfurter Strasse 116, Vienna 1230 Austria",48.15926,16.30801,Unclaimed,,#3637 of 3747 Restaurants in Vienna,#4069 of 4650 places to eat in Vienna,Italian,,,Dinner,Italian,,,N,N,N,,,,,1.5,2.0,All languages,2.0,0.0,0.0,0.0,1.0,1.0,,,,,
g190454-d5855176,Cafe - Restaurant Goldener Löwe,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Suedtiroler Platz 1, Vienna 1040 Austria",48.18614,16.374477,Unclaimed,,#1403 of 3747 Restaurants in Vienna,#1570 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European, Vegetarian Friendly",€,,"Breakfast, Lunch","Austrian, European",Vegetarian Friendly,,Y,N,N,,,,,4.0,26.0,English,7.0,4.0,3.0,0.0,0.0,0.0,4.5,5.0,4.5,,
