restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g190454-d10019850,Top Lokal,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Fleischmarkt 18, Vienna 1010 Austria",48.21054,16.37713,Unclaimed,,#1303 of 3747 Restaurants in Vienna,#1459 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European, Vegetarian Friendly",€,,"Lunch, Dinner, Breakfast, Brunch","Austrian, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [], ""Sun"": []}",5.0,70.0,5.0,4.0,27.0,English,8.0,1.0,4.0,3.0,0.0,0.0,4.0,4.0,4.0,,
g190454-d10022460,Genussgalerie,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gertrudplatz 3 Am Kutschkermarkt, Vienna 1180 Austria",48.22551,16.34442,Unclaimed,,#3192 of 3747 Restaurants in Vienna,#3579 of 4650 places to eat in Vienna,International,,,,International,,,N,N,N,,,,,5.0,1.0,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10023664,Tandoor - Indisches Restaurant,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Burggasse 19 1070 Vienna, Vienna 1070 Austria",48.2042,16.355,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018",#1170 of 3747 Restaurants in Vienna,#1307 of 4650 places to eat in Vienna,"Mid-range, Indian, Vegetarian Friendly, Vegan Options",€€-€€€,€15-€25,,Indian,"Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:30-14:30"", ""18:00-22:00""], ""Tue"": [""11:30-14:30"", ""18:00-22:00""], ""Wed"": [""11:30-14:30"", ""18:00-22:00""], ""Thu"": [""11:30-14:30"", ""18:00-22:00""], ""Fri"": [""11:30-14:30"", ""18:00-22:00""], ""Sat"": [""18:00-22:00""], ""Sun"": []}",6.0,39.0,11.0,4.5,66.0,English,35.0,23.0,7.0,0.0,2.0,3.0,4.5,4.5,4.5,,
g190454-d10025774,Burger's Bar Wien,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Vorgartenstrasse 204, Vienna 1020 Austria",48.21701,16.411053,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017",#606 of 3747 Restaurants in Vienna,#685 of 4650 places to eat in Vienna,"Mid-range, American, Bar, Fast food",€€-€€€,€5-€15,,"American, Bar, Fast food, Street Food",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:55""], ""Tue"": [""11:00-23:55""], ""Wed"": [""11:00-23:55""], ""Thu"": [""11:00-23:55""], ""Fri"": [""11:00-23:55""], ""Sat"": [""11:00-23:55""], ""Sun"": [""11:00-23:55""]}",7.0,90.41666666666669,7.0,4.0,149.0,English,51.0,29.0,13.0,5.0,1.0,3.0,4.0,4.0,4.0,,
g190454-d10025956,Vino Vinothek-Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Teinfaltstrasse 9, Vienna 1010 Austria",48.21121,16.36248,Unclaimed,,#38 of 78 Bars & Pubs in Vienna,#2057 of 4650 places to eat in Vienna,"Bar, Pub, Wine Bar, Gastropub",,,,"Bar, Pub, Gastropub, Wine Bar",,"Seating, Reservations, Table Service",N,N,N,,,,,4.5,11.0,English,4.0,2.0,1.0,1.0,0.0,0.0,,,,,
g190454-d10026341,Rauch Juice Bar Herrengasse,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Herrengasse 6-8, Vienna 1010 Austria",48.20934,16.36646,Claimed,,#81 of 156 Dessert Spots in Vienna,#1512 of 4650 places to eat in Vienna,"Cheap Eats, Dessert, Bar, Pub",€,€2-€12,,"Healthy, Bar, Pub","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""07:45-18:00""], ""Tue"": [""07:45-18:00""], ""Wed"": [""07:45-18:00""], ""Thu"": [""07:45-18:00""], ""Fri"": [""07:45-18:00""], ""Sat"": [""09:00-18:00""], ""Sun"": []}",6.0,60.25,6.0,4.5,18.0,English,10.0,5.0,4.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g190454-d10026346,Goldfisch,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Lerchenfelder Strasse 16, Vienna 1080 Austria",48.206406,16.35209,Claimed,Certificate of Excellence 2017,#1268 of 3747 Restaurants in Vienna,#1417 of 4650 places to eat in Vienna,"Mid-range, Seafood, European",€€-€€€,€6-€25,"Lunch, Dinner, Drinks","Seafood, European",,,N,N,N,"{""Mon"": [], ""Tue"": [""10:30-22:00""], ""Wed"": [""10:30-22:00""], ""Thu"": [""10:30-22:00""], ""Fri"": [""10:30-22:00""], ""Sat"": [""09:30-13:00""], ""Sun"": []}",5.0,49.5,5.0,4.0,54.0,English,8.0,5.0,1.0,0.0,1.0,1.0,4.5,4.0,4.0,,
g190454-d10026472,Bonbonniere,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Spiegelgasse 15, Vienna 1010 Austria",48.2067,16.36989,Unclaimed,,#2579 of 3747 Restaurants in Vienna,#2904 of 4650 places to eat in Vienna,Mid-range,€€-€€€,,,,,"Table Service, Seating",N,N,N,,,,,3.5,17.0,English,4.0,2.0,0.0,0.0,0.0,2.0,,3.5,3.0,,
g190454-d10026670,Ouzaki,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Schlachthausgasse 16, Vienna 1030 Austria",48.19524,16.40764,Claimed,,#1830 of 3747 Restaurants in Vienna,#2062 of 4650 places to eat in Vienna,"Mid-range, Mediterranean, Greek",€€-€€€,,"Lunch, Dinner","Mediterranean, Greek",,Reservations,N,N,N,"{""Mon"": [], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-21:00""]}",6.0,70.0,6.0,5.0,10.0,English,4.0,4.0,0.0,0.0,0.0,0.0,5.0,4.5,4.5,,
g190454-d10027294,Gasthaus Schmid,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Kollburggasse 4, Vienna 1160 Austria",48.21619,16.30116,Unclaimed,,#2136 of 3747 Restaurants in Vienna,#2397 of 4650 places to eat in Vienna,Cheap Eats,€,,,,,Reservations,N,N,N,,,,,4.5,8.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10027330,Cafe Leo Seestadt Aspern,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Maria-Tusch-Strasse 13/2 Riederich, Vienna 1220 Austria",48.22467,16.49842,Claimed,,#2430 of 3747 Restaurants in Vienna,#2733 of 4650 places to eat in Vienna,"Cheap Eats, Cafe, European, Vegetarian Friendly",€,,Breakfast,"Cafe, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""06:00-18:30""], ""Tue"": [""06:00-18:30""], ""Wed"": [""06:00-18:30""], ""Thu"": [""06:00-18:30""], ""Fri"": [""06:00-18:30""], ""Sat"": [""06:00-17:00""], ""Sun"": [""07:30-17:00""]}",7.0,83.0,7.0,3.5,31.0,English,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,,
g190454-d10027457,Cafe Konditorei Gumpendorf,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gumpendorfer Strasse 70, Vienna 1060 Austria",48.19488,16.35053,Unclaimed,,#2694 of 3747 Restaurants in Vienna,#3029 of 4650 places to eat in Vienna,Cheap Eats,€,,,,,,N,N,N,,,,,4.0,10.0,English,3.0,1.0,1.0,0.0,0.0,1.0,,,,,
g190454-d10029090,Starbucks,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Landstrasser Hauptstrasse Invalidenstrasse 11, Vienna 1030 Austria",48.205837,16.385862,Unclaimed,,#148 of 265 Coffee & Tea in Vienna,#2106 of 4650 places to eat in Vienna,"Mid-range, Quick Bites, Cafe",€€-€€€,,Breakfast,Cafe,,"Seating, Wheelchair Accessible, Takeout",N,N,N,,,,,4.0,29.0,English,14.0,5.0,5.0,3.0,0.0,1.0,3.5,3.5,3.5,,
g190454-d10029896,Pizzeria Casanova,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Neustiftgasse 145, Vienna 1070 Austria",48.20598,16.33865,Unclaimed,,#3325 of 3747 Restaurants in Vienna,#3731 of 4650 places to eat in Vienna,"Mid-range, Italian, Pizza",€€-€€€,,"Lunch, Dinner","Italian, Pizza",,,N,N,N,"{""Mon"": [], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",6.0,72.0,6.0,3.0,9.0,English,3.0,1.0,1.0,0.0,0.0,1.0,2.5,2.0,2.0,,
g190454-d10030102,Banh Mi Vienna,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Faulmanngasse 1, Vienna 1040 Austria",48.198597,16.366037,Unclaimed,,#1100 of 3747 Restaurants in Vienna,#1232 of 4650 places to eat in Vienna,"Cheap Eats, Vietnamese, Vegetarian Friendly, Vegan Options",€,,"Lunch, Dinner",Vietnamese,"Vegetarian Friendly, Vegan Options",,Y,Y,N,,,,,4.5,21.0,English,9.0,8.0,1.0,0.0,0.0,0.0,4.5,5.0,4.0,,
g190454-d10033249,Pizzeria da Salvatore,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Hietzinger Hauptstrasse 153, Vienna 1130 Austria",48.188,16.26689,Unclaimed,,#1351 of 3747 Restaurants in Vienna,#1515 of 4650 places to eat in Vienna,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,,Dinner,"Italian, Pizza, Mediterranean",Vegetarian Friendly,,Y,N,N,,,,,4.0,38.0,English,5.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,3.5,,
g190454-d10034419,Cafe-Bar Lukas,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Schönlaterngasse 2, Vienna 1010 Austria",48.20929,16.37693,Claimed,,#1330 of 3747 Restaurants in Vienna,#1491 of 4650 places to eat in Vienna,"Mid-range, Contemporary, Pub",€€-€€€,,,"Contemporary, Pub",,"Seating, Table Service",N,N,N,,,,,4.5,24.0,English,6.0,3.0,3.0,0.0,0.0,0.0,3.5,4.0,3.5,,
g190454-d10042504,Alto,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Dornbacher Strasse 88, Vienna 1170 Austria",48.232082,16.293285,Unclaimed,Certificate of Excellence 2017,#927 of 3747 Restaurants in Vienna,#1044 of 4650 places to eat in Vienna,"Mid-range, Italian, Pizza, Vegetarian Friendly",€€-€€€,,"Dinner, Lunch","Italian, Pizza",Vegetarian Friendly,,Y,N,N,,,,,4.5,51.0,English,6.0,2.0,2.0,1.0,0.0,1.0,4.5,4.5,4.0,,
g190454-d10042988,magdas Kantine,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Absberggasse 27, Vienna 1100 Austria",48.17206,16.38938,Unclaimed,,#2714 of 3747 Restaurants in Vienna,#3049 of 4650 places to eat in Vienna,,,,"Breakfast, Lunch",,,,N,N,N,"{""Mon"": [""08:00-16:00""], ""Tue"": [""08:00-16:00""], ""Wed"": [""08:00-16:00""], ""Thu"": [""08:00-16:00""], ""Fri"": [""08:00-16:00""], ""Sat"": [], ""Sun"": []}",5.0,40.0,5.0,4.5,3.0,All languages,3.0,2.0,1.0,0.0,0.0,0.0,,,,,
g190454-d10043018,Servus Am Platz'l,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Uhlplatz 5, Vienna 1080 Austria",48.212452,16.340721,Claimed,,#1838 of 3747 Restaurants in Vienna,#2070 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European, Vegetarian Friendly",€,€6-€17,,"Austrian, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""10:30-23:00""], ""Tue"": [""10:30-23:00""], ""Wed"": [""10:30-23:00""], ""Thu"": [""10:30-23:00""], ""Fri"": [""10:30-23:00""], ""Sat"": [], ""Sun"": []}",5.0,62.5,5.0,4.5,14.0,English,3.0,2.0,0.0,0.0,1.0,0.0,3.5,4.5,4.0,,
g190454-d10044991,Nobauer Hubert,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Donaufelder Strasse 234, Vienna 1220 Austria",48.25012,16.43974,Unclaimed,,#59 of 72 Bakeries in Vienna,#3569 of 4650 places to eat in Vienna,"Bakeries, European",,,,European,,,N,N,N,,,,,3.5,3.0,All languages,3.0,1.0,0.0,1.0,1.0,0.0,,,,,
g190454-d10048174,Debakel,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Skodagasse 21, Vienna 1080 Austria",48.21457,16.34778,Claimed,,#3587 of 3747 Restaurants in Vienna,#4013 of 4650 places to eat in Vienna,,,,"After-hours, Drinks",,,"Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Table Service",N,N,N,"{""Mon"": [""20:00-03:33""], ""Tue"": [""20:00-03:33""], ""Wed"": [""20:00-03:33""], ""Thu"": [""20:00-03:33""], ""Fri"": [""20:00-03:33""], ""Sat"": [""20:00-03:33""], ""Sun"": [""20:00-02:00""]}",7.0,51.3,7.0,5.0,3.0,All languages,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10048564,Palette,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Vorgartenmarkt, Vienna 1020 Austria",48.22189,16.40164,Claimed,,#2878 of 3747 Restaurants in Vienna,#3228 of 4650 places to eat in Vienna,European,,,"Lunch, Dinner",European,,,N,N,N,"{""Mon"": [], ""Tue"": [""11:00-18:00""], ""Wed"": [""11:00-18:00""], ""Thu"": [""11:00-18:00""], ""Fri"": [""11:00-19:00""], ""Sat"": [""08:00-16:00""], ""Sun"": []}",5.0,37.0,5.0,5.0,2.0,All languages,2.0,2.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10049135,Eissalon Zanoni & Facincani,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Waehringer Guertel 3, Vienna 1180 Austria",48.21765,16.34164,Unclaimed,,#156 of 156 Dessert Spots in Vienna,#4153 of 4650 places to eat in Vienna,"Mid-range, Dessert, Deli, Vegetarian Friendly",€€-€€€,,,Deli,Vegetarian Friendly,"Takeout, Seating",Y,N,N,,,,,3.0,16.0,English,2.0,1.0,1.0,0.0,0.0,0.0,3.5,3.5,3.0,,
g190454-d10051032,Caffehaus,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Viktor-Adler-Platz 9, Vienna 1100 Austria",48.17715,16.37635,Claimed,,#3426 of 3747 Restaurants in Vienna,#3841 of 4650 places to eat in Vienna,Mid-range,€€-€€€,€2-€10,"Breakfast, Lunch, Dinner",,,"Takeout, Seating, Highchairs Available, Cash Only, Reservations",N,N,N,"{""Mon"": [""07:00-20:00""], ""Tue"": [""07:00-20:00""], ""Wed"": [""07:00-20:00""], ""Thu"": [""07:00-20:00""], ""Fri"": [""07:00-20:00""], ""Sat"": [""08:00-18:00""], ""Sun"": [""09:00-18:00""]}",7.0,84.0,7.0,4.5,8.0,English,1.0,0.0,0.0,1.0,0.0,0.0,,,,,
g190454-d10051163,Kleinod,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Singerstrasse 7 Ecke Blutgasse, Vienna 1010 Austria",48.207367,16.373802,Claimed,Certificate of Excellence 2017,#757 of 3747 Restaurants in Vienna,#855 of 4650 places to eat in Vienna,Mid-range,€€-€€€,€4-€20,Drinks,,,"Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service",N,N,N,"{""Mon"": [""15:30-04:00""], ""Tue"": [""15:30-04:00""], ""Wed"": [""15:30-04:00""], ""Thu"": [""15:30-04:00""], ""Fri"": [""15:30-04:00""], ""Sat"": [""15:30-04:00""], ""Sun"": [""17:00-02:00""]}",7.0,84.0,7.0,4.5,79.0,English,30.0,22.0,2.0,3.0,1.0,2.0,4.5,4.5,4.0,,
g190454-d10055898,Cafe+Co,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Friedrich-Wilhelm-Raiffeisen-Platz 1 Im Raiffeisenhaus, Vienna 1020 Austria",48.21414,16.37616,Unclaimed,,#3048 of 3747 Restaurants in Vienna,#3415 of 4650 places to eat in Vienna,,,,,,,,N,N,N,,,,,4.5,2.0,All languages,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g190454-d10062815,Paolo Bortolotti,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Mariahilfer Strasse 22, Vienna 1070 Austria",48.200653,16.357178,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#314 of 3747 Restaurants in Vienna,#354 of 4650 places to eat in Vienna,Mid-range,€€-€€€,,,,,"Seating, Wheelchair Accessible, Takeout, Table Service",N,N,N,,,,,4.5,109.0,English,45.0,30.0,12.0,2.0,1.0,0.0,4.5,4.5,4.5,,
g190454-d10063438,Campus Bräu,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Wiedner Guertel 1, Vienna 1100 Austria",48.18714,16.38014,Claimed,Certificate of Excellence 2019,#925 of 3747 Restaurants in Vienna,#1042 of 4650 places to eat in Vienna,"Mid-range, Austrian, European, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Austrian, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [], ""Sun"": []}",5.0,60.0,5.0,4.0,88.0,English,24.0,6.0,9.0,5.0,2.0,2.0,4.0,4.0,3.5,,
g190454-d10063696,Da Ferdinando,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Hietzinger Hauptstrasse 26, Vienna 1130 Austria",48.186504,16.299393,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#1274 of 3747 Restaurants in Vienna,#1423 of 4650 places to eat in Vienna,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,,"Lunch, Dinner, Brunch","Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,4.0,294.0,English,58.0,25.0,17.0,6.0,7.0,3.0,4.5,4.0,4.0,,
g190454-d10065991,Restaurant Nar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Huetteldorfer Strasse 102, Vienna 1140 Austria",48.19913,16.31213,Unclaimed,,#2313 of 3747 Restaurants in Vienna,#2601 of 4650 places to eat in Vienna,,,,,,,Reservations,N,N,N,,,,,4.5,7.0,All languages,7.0,5.0,1.0,0.0,1.0,0.0,,,,,
g190454-d10070184,Mr Schnitzel,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Mariahilfer Strasse 155, Vienna 1150 Austria",48.193863,16.334734,Unclaimed,,#1197 of 3747 Restaurants in Vienna,#1341 of 4650 places to eat in Vienna,"Cheap Eats, German, Austrian, Fast food",€,€2-€12,,"German, Austrian, Fast food, European, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""09:00-23:00""], ""Tue"": [""09:00-23:00""], ""Wed"": [""09:00-23:00""], ""Thu"": [""09:00-23:00""], ""Fri"": [""09:00-23:00""], ""Sat"": [""09:00-23:00""], ""Sun"": [""09:00-23:00""]}",7.0,98.0,7.0,4.5,32.0,English,19.0,12.0,5.0,0.0,0.0,2.0,,,,,
g190454-d1007038,Cortez Bar,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Linke Wienzeile 42, Vienna 1060 Austria",48.19736,16.35886,Claimed,,#2983 of 3747 Restaurants in Vienna,#3347 of 4650 places to eat in Vienna,"Mid-range, Italian, Austrian, Bar",€€-€€€,€6-€12,Breakfast,"Austrian, Cafe, Italian, Bar, European, Pub",,,N,N,N,,,,,3.5,13.0,English,6.0,0.0,4.0,1.0,0.0,1.0,4.0,3.5,3.0,,
g190454-d10071353,Mamamon Thai Eatery,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Albertgasse 15, Vienna 1080 Austria",48.20944,16.343931,Unclaimed,,#1927 of 3747 Restaurants in Vienna,#2165 of 4650 places to eat in Vienna,"Mid-range, Asian, Thai, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Thai, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,,,,,3.5,65.0,English,22.0,13.0,4.0,4.0,1.0,0.0,3.5,3.5,3.5,,"sticky rice, pad thai, shrimp, slice, spicy"
g190454-d10071725,Konditorei Oberdobling,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Doeblinger Hauptstrasse 63-65, Vienna 1190 Austria",48.24008,16.35499,Claimed,,#236 of 265 Coffee & Tea in Vienna,#3501 of 4650 places to eat in Vienna,"Cheap Eats, Bakeries, Austrian, Cafe",€,,"Breakfast, Lunch, Brunch, Drinks","Cafe, Austrian, European",,"Reservations, Seating, Serves Alcohol, Wine and Beer, Free Wifi, Table Service, Playgrounds, Dog Friendly, Non-smoking restaurants",N,N,N,"{""Mon"": [""07:30-19:00""], ""Tue"": [""07:30-19:00""], ""Wed"": [""07:30-19:00""], ""Thu"": [""07:30-19:00""], ""Fri"": [""07:30-19:00""], ""Sat"": [""08:00-17:00""], ""Sun"": [""09:00-17:00""]}",7.0,74.5,7.0,3.5,5.0,All languages,5.0,2.0,1.0,1.0,0.0,1.0,3.5,4.0,4.0,,
g190454-d10075981,Cafe & Restaurant Coretto,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Forsthausgasse 15 Corner Leystrasse, Vienna 1200 Austria",48.245354,16.375093,Unclaimed,,#1111 of 3747 Restaurants in Vienna,#1244 of 4650 places to eat in Vienna,"Mid-range, Austrian, Mediterranean, European",€€-€€€,,"Dinner, Lunch","Mediterranean, Healthy, Austrian, European",Vegetarian Friendly,,Y,N,N,,,,,5.0,20.0,English,3.0,3.0,0.0,0.0,0.0,0.0,5.0,4.5,4.5,,
g190454-d10084553,Ocakbasi,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Erlachgasse 79, Vienna 1100 Austria",48.17678,16.37871,Unclaimed,,#3683 of 3747 Restaurants in Vienna,#4117 of 4650 places to eat in Vienna,Mid-range,€€-€€€,€5-€18,"Breakfast, Lunch, Dinner",,,,N,N,N,"{""Mon"": [""07:30-22:30""], ""Tue"": [""07:30-22:30""], ""Wed"": [""07:30-22:30""], ""Thu"": [""07:30-22:30""], ""Fri"": [""07:30-22:30""], ""Sat"": [""07:30-22:30""], ""Sun"": [""07:30-22:30""]}",7.0,105.0,7.0,3.5,4.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g190454-d10087542,Ebi 7,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Mariahilfer Strasse 112 im ersten Stock - kleiner Eingang, Vienna 1070 Austria",48.196632,16.343227,Claimed,,#753 of 3747 Restaurants in Vienna,#850 of 4650 places to eat in Vienna,"Mid-range, Chinese, Japanese, Sushi",€€-€€€,,,,,,N,N,N,,,,,3.5,351.0,English,91.0,53.0,22.0,7.0,2.0,7.0,4.0,3.5,3.5,,
g190454-d10087941,motiWirt!n,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Berggasse 7, Vienna 1090 Austria",48.21782,16.36069,Unclaimed,,#1474 of 3747 Restaurants in Vienna,#1651 of 4650 places to eat in Vienna,"Cheap Eats, Austrian, European, Central European",€,,"Lunch, Dinner","Austrian, European, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [], ""Sun"": []}",5.0,60.0,5.0,4.5,19.0,All languages,19.0,14.0,3.0,0.0,0.0,2.0,,,,,
g190454-d10089708,Café Theresianum,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Favoritenstrasse 34, Vienna 1040 Austria",48.19205,16.37083,Unclaimed,,#2786 of 3747 Restaurants in Vienna,#3127 of 4650 places to eat in Vienna,Cheap Eats,€,,,,,,N,N,N,,,,,4.0,5.0,All languages,5.0,2.0,1.0,2.0,0.0,0.0,,,,,
g190454-d10090769,Pizzeria Don Pablo,"[""Europe"", ""Austria"", ""Vienna Region"", ""Vienna""]",Austria,Vienna Region,,Vienna,"Gussriegelstrasse 36, Vienna 1100 Austria",48.17167,16.3571,Unclaimed,,#2336 of 3747 Restaurants in Vienna,#2628 of 4650 places to eat in Vienna,"Mid-range, Italian, Mediterranean",€€-€€€,,,"Mediterranean, Italian",,Reservations,N,N,N,,,,,4.0,9.0,All languages,9.0,5.0,2.0,1.0,0.0,1.0,,,,,
